question,dimension,factor,chi2,p_value,kendall_W,sig
Q2_extractor_effect,I,GPT-4.1,21.533,0.0001,0.186,***
Q1_judge_effect,C,DeepSeek-V3,41.007,0.0,0.152,***
Q1_judge_effect,C,Kimi-K2,74.246,0.0,0.275,***
Q1_judge_effect,C,Llama-3.3-70B,55.837,0.0,0.223,***
Q1_judge_effect,C,Gemma-3-27B,48.867,0.0,0.188,***
Q2_extractor_effect,C,DeepSeek-V3-685B,12.329,0.0063,0.106,**
Q2_extractor_effect,C,Kimi-K2-1T,20.622,0.0001,0.178,***
Q2_extractor_effect,C,Llama-3.3-70B,7.382,0.0607,0.064,ns
Q2_extractor_effect,C,Gemma-3-27B,13.811,0.0032,0.119,**
Q2_extractor_effect,C,Qwen3-32B,14.068,0.0028,0.135,**
Q2_extractor_effect,C,Llama-3.1-8B,4.167,0.244,0.037,ns
Q2_extractor_effect,C,Llama-3.2-3B,5.8,0.1218,0.05,ns
Q2_extractor_effect,C,Qwen2.5-7B,3.789,0.2851,0.033,ns
Q2_extractor_effect,C,Claude-Sonnet-4.6,20.808,0.0001,0.179,***
Q2_extractor_effect,C,GPT-4.1,21.245,0.0001,0.183,***
Q1_judge_effect,O,DeepSeek-V3,21.634,0.0101,0.08,*
Q1_judge_effect,O,Kimi-K2,39.505,0.0,0.146,***
Q1_judge_effect,O,Llama-3.3-70B,54.615,0.0,0.218,***
Q1_judge_effect,O,Gemma-3-27B,29.953,0.0004,0.115,***
Q2_extractor_effect,O,DeepSeek-V3-685B,8.25,0.0411,0.071,*
Q2_extractor_effect,O,Kimi-K2-1T,3.493,0.3217,0.03,ns
Q2_extractor_effect,O,Llama-3.3-70B,0.692,0.875,0.006,ns
Q2_extractor_effect,O,Gemma-3-27B,8.4,0.0384,0.072,*
Q2_extractor_effect,O,Qwen3-32B,5.0,0.1718,0.048,ns
Q2_extractor_effect,O,Llama-3.1-8B,1.895,0.5945,0.017,ns
Q2_extractor_effect,O,Llama-3.2-3B,5.2,0.1577,0.045,ns
Q2_extractor_effect,O,Qwen2.5-7B,4.714,0.194,0.041,ns
Q2_extractor_effect,O,Claude-Sonnet-4.6,5.507,0.1382,0.047,ns
Q2_extractor_effect,O,GPT-4.1,10.4,0.0155,0.09,*
Q1_judge_effect,confounders,DeepSeek-V3,26.256,0.0019,0.097,**
Q1_judge_effect,confounders,Kimi-K2,44.464,0.0,0.171,***
Q1_judge_effect,confounders,Llama-3.3-70B,25.745,0.0022,0.103,**
Q1_judge_effect,confounders,Gemma-3-27B,21.733,0.0098,0.084,**
Q2_extractor_effect,confounders,DeepSeek-V3-685B,4.611,0.2026,0.04,ns
Q2_extractor_effect,confounders,Kimi-K2-1T,4.95,0.1755,0.043,ns
Q2_extractor_effect,confounders,Llama-3.3-70B,5.425,0.1432,0.047,ns
Q2_extractor_effect,confounders,Gemma-3-27B,4.019,0.2594,0.036,ns
Q2_extractor_effect,confounders,Qwen3-32B,1.848,0.6045,0.018,ns
Q2_extractor_effect,confounders,Llama-3.1-8B,1.511,0.6798,0.013,ns
Q2_extractor_effect,confounders,Llama-3.2-3B,3.673,0.299,0.032,ns
Q2_extractor_effect,confounders,Qwen2.5-7B,9.561,0.0227,0.082,*
Q2_extractor_effect,confounders,Claude-Sonnet-4.6,14.675,0.0021,0.127,**
Q2_extractor_effect,confounders,GPT-4.1,4.57,0.2061,0.039,ns
Q1_judge_effect,completeness,DeepSeek-V3,58.18,0.0,0.215,***
Q1_judge_effect,completeness,Kimi-K2,53.99,0.0,0.2,***
Q1_judge_effect,completeness,Llama-3.3-70B,83.716,0.0,0.335,***
Q1_judge_effect,completeness,Gemma-3-27B,52.458,0.0,0.202,***
Q2_extractor_effect,completeness,DeepSeek-V3-685B,3.0,0.3916,0.026,ns
Q2_extractor_effect,completeness,Kimi-K2-1T,1.767,0.6221,0.015,ns
Q2_extractor_effect,completeness,Llama-3.3-70B,2.609,0.456,0.022,ns
Q2_extractor_effect,completeness,Gemma-3-27B,1.565,0.6673,0.013,ns
Q2_extractor_effect,completeness,Qwen3-32B,4.538,0.2089,0.044,ns
Q2_extractor_effect,completeness,Llama-3.1-8B,2.4,0.4936,0.021,ns
Q2_extractor_effect,completeness,Llama-3.2-3B,0.401,0.94,0.003,ns
Q2_extractor_effect,completeness,Qwen2.5-7B,9.947,0.019,0.086,*
Q2_extractor_effect,completeness,Claude-Sonnet-4.6,7.582,0.0555,0.065,ns
Q2_extractor_effect,completeness,GPT-4.1,6.783,0.0792,0.058,ns
Q1_judge_effect,overall,DeepSeek-V3,82.814,0.0,0.307,***
Q1_judge_effect,overall,Kimi-K2,105.284,0.0,0.39,***
Q1_judge_effect,overall,Llama-3.3-70B,90.238,0.0,0.361,***
Q1_judge_effect,overall,Gemma-3-27B,72.387,0.0,0.278,***
Q2_extractor_effect,overall,DeepSeek-V3-685B,3.667,0.2998,0.032,ns
Q2_extractor_effect,overall,Kimi-K2-1T,4.343,0.2268,0.037,ns
Q2_extractor_effect,overall,Llama-3.3-70B,2.143,0.5433,0.018,ns
Q2_extractor_effect,overall,Gemma-3-27B,2.348,0.5034,0.02,ns
Q2_extractor_effect,overall,Qwen3-32B,4.538,0.2089,0.044,ns
Q2_extractor_effect,overall,Llama-3.1-8B,1.727,0.6309,0.015,ns
Q2_extractor_effect,overall,Llama-3.2-3B,1.541,0.6729,0.013,ns
Q2_extractor_effect,overall,Qwen2.5-7B,4.488,0.2133,0.039,ns
Q2_extractor_effect,overall,Claude-Sonnet-4.6,22.95,0.0,0.198,***
Q2_extractor_effect,overall,GPT-4.1,23.308,0.0,0.201,***
